MAE/step,RMSE/step,Model,Model Arch,Coin,Input Width,Label Width,Batch Size,Learning Rate,Num Epochs,Windows Normalization Length,Train Loss,Validation Loss,Features
79.36656881589577,159.74366519313168,GRUStacked,"GRUStacked(;   (gru): GRU(1, 64, num_layers=2, batch_first=True);   (fc): Linear(in_features=64, out_features=12, bias=True); )",BTCUSDT,100,12,64,0.001,50,15,0.0016503735832373045,0.0019674878878882243,close
83.14442087465163,163.68804956911794,TransformerTimeSeries,"TransformerTimeSeries(;   (input_projection): Linear(in_features=1, out_features=64, bias=True);   (transformer_encoder): TransformerEncoder(;     (layers): ModuleList(;       (0-1): 2 x TransformerEncoderLayer(;         (self_attn): MultiheadAttention(;           (out_proj): NonDynamicallyQuantizab",BTCUSDT,100,12,64,0.001,50,15,0.0018980587978428293,0.0021619064518833163,close
83.90292663425983,179.89882649801916,ConvFC,"ConvFC(;   (conv): Conv1d(1, 16, kernel_size=(3,), stride=(1,));   (fc): Sequential(;     (0): Linear(in_features=1568, out_features=128, bias=True);     (1): ReLU();     (2): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.0005,50,30,0.001669549948372335,0.0020244705442542766,close
83.06518542425,178.03899411294512,SimpleFC,"SimpleFC(;   (fc): Sequential(;     (0): Flatten(start_dim=1, end_dim=-1);     (1): Linear(in_features=100, out_features=128, bias=True);     (2): ReLU();     (3): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.0005,50,30,0.00168815605337278,0.002047961168983785,close
80.75331805106693,173.35014471970462,GRUStacked,"GRUStacked(;   (gru): GRU(1, 64, num_layers=2, batch_first=True);   (fc): Linear(in_features=64, out_features=12, bias=True); )",BTCUSDT,100,12,64,0.0005,50,30,0.0014088665829385045,0.002034474301190174,close
81.40675539543817,176.71310272373523,TransformerTimeSeries,"TransformerTimeSeries(;   (input_projection): Linear(in_features=1, out_features=64, bias=True);   (transformer_encoder): TransformerEncoder(;     (layers): ModuleList(;       (0-1): 2 x TransformerEncoderLayer(;         (self_attn): MultiheadAttention(;           (out_proj): NonDynamicallyQuantizab",BTCUSDT,100,12,64,0.0005,50,30,0.0016162396698937188,0.0020656315968338185,close
82.03126173856016,176.52280444580006,ConvFC,"ConvFC(;   (conv): Conv1d(1, 16, kernel_size=(3,), stride=(1,));   (fc): Sequential(;     (0): Linear(in_features=1568, out_features=128, bias=True);     (1): ReLU();     (2): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.0005,50,30,0.0017048467780413573,0.0020107407776491517,close
84.07051141343487,180.30219022950132,SimpleFC,"SimpleFC(;   (fc): Sequential(;     (0): Flatten(start_dim=1, end_dim=-1);     (1): Linear(in_features=100, out_features=128, bias=True);     (2): ReLU();     (3): Linear(in_features=128, out_features=12, bias=True);   ); )",BTCUSDT,100,12,64,0.0005,50,30,0.0016870428580472651,0.0020372502892846154,close
82.14363135672188,176.4851756259951,GRUStacked,"GRUStacked(;   (gru): GRU(1, 64, num_layers=2, batch_first=True);   (fc): Linear(in_features=64, out_features=12, bias=True); )",BTCUSDT,100,12,64,0.0005,50,30,0.0014578052417155412,0.002090233869010983,close
80.54537637505456,174.13080294444487,TransformerTimeSeries,"TransformerTimeSeries(;   (input_projection): Linear(in_features=1, out_features=64, bias=True);   (transformer_encoder): TransformerEncoder(;     (layers): ModuleList(;       (0-1): 2 x TransformerEncoderLayer(;         (self_attn): MultiheadAttention(;           (out_proj): NonDynamicallyQuantizab",BTCUSDT,100,12,64,0.0005,50,30,0.0016414918274866527,0.0020517200934683797,close
